title,url,news maker
London to move to highest alert as new coronavirus variant identified in UK,https://c.newsnow.co.uk/A/1058887778?-461:2192,The Week
UK PM Boris Johnson to attend Republic Day ceremony as chief guest,https://c.newsnow.co.uk/A/1058898892?-461:2192,India Today
UK unemployment rate rises to 4.9% as redundancies hit record high,https://c.newsnow.co.uk/A/1058902413?-461:2192,The National
Minister says ‘do the minimum’ if visiting family at Christmas as experts warn against mixing Covid bubbles,https://c.newsnow.co.uk/A/1058900896?-461:2192,RT
LoveHolidays agrees £18m of Covid-cancellation refunds - regulator,https://c.newsnow.co.uk/A/1058899883?-461:2192,Sky News
Russian president Vladimir Putin congratulates Joe Biden on winning US election,https://c.newsnow.co.uk/A/1058899313?-14432:11,LBC News
Afghanistan: Kabul's deputy governor killed in blast,https://c.newsnow.co.uk/A/1058898311?-14432:11,Yeni Şafak
Tokyo court sentences man to death for 2017 murders of 9 people contacted via Twitter -media,https://c.newsnow.co.uk/A/1058901855?-14432:11,Reuters
Boko Haram claims responsibility for kidnapping hundreds of boys in Nigeria,https://c.newsnow.co.uk/A/1058902156?-14432:11,The Guardian
Supreme Court rules Malka Leifer can be extradited to Australia,https://c.newsnow.co.uk/A/1058905008?-14432:11,The Times of Israel
UK redundancies rise to record high amid second Covid wave,https://c.newsnow.co.uk/A/1058893214?-1938:2386,The Guardian
H&M sales hit by second wave of coronavirus,https://c.newsnow.co.uk/A/1058897807?-1938:2386,Yahoo! UK & Ireland
JD Sports buys Shoe Palace to expand US footprint,https://c.newsnow.co.uk/A/1058900722?-1938:2386,RTE
"Tier 3 will cause business failures, Ukh warns",https://c.newsnow.co.uk/A/1058903399?-1938:2386,Catering Today
LoveHolidays told to pay £18mln of refunds for trips cancelled due to coronavirus,https://c.newsnow.co.uk/A/1058905177?-1938:2386,Proactive Investors (UK)
The Vicar of Dibley In Lockdown: Dawn French shares tribute to Emma Chambers,https://c.newsnow.co.uk/A/1058890008?-11020:6,Mail Online
Ranvir Singh admits to having 'special thing' with Giovanni Pernice as they reunite,https://c.newsnow.co.uk/A/1058898122?-11020:6,Mirror.co.uk
Tony-winning Broadway star Ann Reinking dies aged 71,https://c.newsnow.co.uk/A/1058896051?-11020:6,The Guardian
Sharon Osbourne reveals positive coronavirus diagnosis,https://c.newsnow.co.uk/A/1058893456?-11020:6,RTE
Taylor Swift debunks third album fan theory after cover art error,https://c.newsnow.co.uk/A/1058890413?-11020:6,The Independent
"India vs Australia: ""Bring it on,"" says Justin Langer as Australia gear up for ""Great rivalry""",https://c.newsnow.co.uk/A/1058898746?-15048:5,NDTV.com
NFL star Lamar Jackson denies needing bathroom during Baltimore Ravens win,https://c.newsnow.co.uk/A/1058900847?-15048:5,Daily Star
Chris Lynn and Dan Lawrence fined for Covid-19 protocol breach,https://c.newsnow.co.uk/A/1058902170?-15048:5,The Cricketer
A third of Japanese want Tokyo Olympics cancelled: NHK poll,https://c.newsnow.co.uk/A/1058901852?-15048:5,CGTN
Watch: Hamilton on record-breaking season in F1,https://c.newsnow.co.uk/A/1058902521?-15048:5,Gulf News
"Arsenal chief Edu backs Mikel Arteta to enjoy ""beautiful future"" at the Emirates",https://c.newsnow.co.uk/A/1058902518?-833:12,JOE.co.uk
How Man City should line up vs West Brom in Premier League match,https://c.newsnow.co.uk/A/1058882085?-833:12,Manchester Evening News
Everton well positioned in Dele Alli chase as PSG get good news for Serie A target,https://c.newsnow.co.uk/A/1058905026?-833:12,Prince Rupert's Tower (Weblog)
Steven Gerrard issues Rangers defence for Alfredo Morelos and insists he's 'proud' of Ibrox star,https://c.newsnow.co.uk/A/1058901357?-833:12,Glasgow Live
What happened when Petr Cech made his surprise return for Chelsea U23's against Tottenham,https://c.newsnow.co.uk/A/1058883743?-833:12,Football.London
Cyberpunk 2077 on PS4 and Xbox One is borked: CD Projekt offers refunds,https://c.newsnow.co.uk/A/1058877629?-29494:15630,T3
"For whatever reason, Apple Fitness+ isn’t compatible with AirPlay",https://c.newsnow.co.uk/A/1058869475?-29494:15630,UberGizmo
"Huge Google outage today takes Gmail, YouTube, Classroom and more offline",https://c.newsnow.co.uk/A/1058796748?-29494:15630,Slashgear
EA set to pay $1.2 billion for Codemasters and its stable of racing games,https://c.newsnow.co.uk/A/1058841887?-29494:15630,Ars Technica
US government confirms cyber attack on Treasury and Commerce departments by state-backed hackers,https://c.newsnow.co.uk/A/1058739156?-29494:15630,Computing.co.uk
Chicken-sized dinosaur with ‘flamboyant’ fur mane discovered,https://c.newsnow.co.uk/A/1058889179?-317:2185,The Independent
"Pfizer–BioNTech vaccine gains emergency approvals in US, Canada and beyond",https://c.newsnow.co.uk/A/1058751267?-317:2185,Chemistry World Magazine
Asteroid dust recovered from Japan’s daring Hayabusa2 mission,https://c.newsnow.co.uk/A/1058864810?-317:2185,Nature.com
Only total solar eclipse of 2020 thrills spectators in South America,https://c.newsnow.co.uk/A/1058836611?-317:2185,Space.com
US must take care of its Moon orbiter’s compatibility with Russian spacecraft — Roscosmos,https://c.newsnow.co.uk/A/1058815555?-317:2185,TASS
Goodnight Mr Trump video goes viral as Electoral College certifies Joe Biden president-elect,https://c.newsnow.co.uk/A/1058891144?-19467:31192,The London Economic
Trump declares ‘this Fake Election can no longer stand’ in after-midnight Twitter rant,https://c.newsnow.co.uk/A/1058879914?-19467:31192,The Raw Story
Trump refuses to concede after electoral college backs Biden,https://c.newsnow.co.uk/A/1058890156?-19467:31192,Mail Online
Hillary Clinton renews calls to abolish the Electoral College after casting vote for Biden,https://c.newsnow.co.uk/A/1058898709?-19467:31192,Mail Online
‘Cult follower’ Kayleigh McEnany faces backlash after she flees questions on Electoral College vote,https://c.newsnow.co.uk/A/1058827683?-54390:41962,The Raw Story
"Live: Here Are the Electoral College Results, By State",https://c.newsnow.co.uk/A/1058789233?-54390:41962,The New York Times
Nebraska splits electoral votes for 2nd time in history,https://c.newsnow.co.uk/A/1058849965?-54390:41962,Associated Press
Hillary Clinton renews calls to abolish the Electoral College after casting vote for Biden,https://c.newsnow.co.uk/A/1058898709?-54390:41962,Mail Online
Donald Trump blew a pretty big hole in NBC News’ Michael Beschloss’ tweets shaming WH staffers for cutting in line for,https://c.newsnow.co.uk/A/1058827273?-49867:36765,twitchy
Report: White House Employee Had Leg Amputated Amid Covid Battle,https://c.newsnow.co.uk/A/1058875186?-49867:36765,Washingtonian
You and the Law | COVID-19 brought about a needed change to the legal profession,https://c.newsnow.co.uk/A/1058890722?-49867:36765,"Eureka Times-Standard, California"
Laura Ingraham says COVID vaccinations may not be necessary in North and South Dakota thanks to “herd immunity”,https://c.newsnow.co.uk/A/1058874149?-49867:36765,Media Matters for America
Who's likeliest to bring COVID into a Christmas bubble? It isn't students coming home from uni,https://c.newsnow.co.uk/A/1058775005?-50233:37129,Sky News
Everything we know about super fast-spreading new coronavirus strain,https://c.newsnow.co.uk/A/1058834435?-50233:37129,Mirror.co.uk
"New strain of Covid-19 may be cause of rise in cases, Hancock tells MPs",https://c.newsnow.co.uk/A/1058800581?-50233:37129,The Guardian
The pandemic has taken surveillance of workers to the next level,https://c.newsnow.co.uk/A/1058748627?-50233:37129,The Guardian
"Covid-19: Hong Kong’s Carrie Lam slams ‘malicious’ rumours on Chinese vaccine purchases, says no politics involved",https://c.newsnow.co.uk/A/1058901798?-49183:36126,Hong Kong Free Press
"Delhi Govt Begins Training About 3,500 Health Care Workers for Covid-19 Vaccination Drive",https://c.newsnow.co.uk/A/1058902473?-49183:36126,News18.com
"50 More Residents of Village in Uttarakhand's Pauri Test Covid-19 Positive, Total Cases in",https://c.newsnow.co.uk/A/1058902470?-49183:36126,News18.com
Man jailed in August for Covid-19-related offences sentenced to 2 more years' jail for,https://c.newsnow.co.uk/A/1058901640?-49183:36126,The Straits Times
"Trump will 100% be next president, says Michael Flynn",https://c.newsnow.co.uk/A/1058764625?-50227:37128,The Independent
Explorer behind bars refuses to reveal location of historic $5M coins,https://c.newsnow.co.uk/A/1058867846?-50227:37128,9News
Ever Wanted to Own a P-51 Mustang? Now You Can (for $4 Million),https://c.newsnow.co.uk/A/1058877912?-50227:37128,The National Interest
Massive hacker attack triggers US National Security Council emergency meeting,https://c.newsnow.co.uk/A/1058878213?-50227:37128,intelNews.org
Fears Over Easing Covid Rules At Christmas As London Calls Last Orders,https://c.newsnow.co.uk/A/1058884473?-50056:36923,London South East
How infection rates in every Surrey area are climbing despite Tier 2 restrictions,https://c.newsnow.co.uk/A/1058875213?-50056:36923,Get Surrey
London Tier 3 decision: Live updates as capital faces toughest Covid restrictions,https://c.newsnow.co.uk/A/1058778730?-50056:36923,LBC News
"London plunged back into harsh coronavirus restrictions, scientists find new COVID strain",https://c.newsnow.co.uk/A/1058827624?-50056:36923,WA Today
Don’t repeat the mistakes of past vaccine distribution efforts,https://c.newsnow.co.uk/A/1058903155?-49980:36864,STAT
Lincolnshire patients to give COVID vaccine,https://c.newsnow.co.uk/A/1058902878?-49980:36864,Spalding Today
It could take a year to vaccinate entire UK against Covid,https://c.newsnow.co.uk/A/1058899462?-49980:36864,Metro.co.uk
"Drinking alcohol after Covid jab could stop it working, says scientist",https://c.newsnow.co.uk/A/1058887944?-49980:36864,Grimsby Live
Johnson wilfully kills London’s economy before Christmas,https://c.newsnow.co.uk/A/1058875015?-53222:40464,The Conservative Woman
Italy likely to follow Germany with Covid Christmas lockdown,https://c.newsnow.co.uk/A/1058785861?-53222:40464,The Guardian
Matt Hancock refuses to say if Christmas relaxations could be scrapped,https://c.newsnow.co.uk/A/1058842820?-53222:40464,Metro.co.uk
"Christmas rules not changing despite soaring Covid rates in parts of UK, government insists",https://c.newsnow.co.uk/A/1058771395?-53222:40464,Yahoo! UK & Ireland
EU court case sees British citizen seek post-Brexit rights in France,https://c.newsnow.co.uk/A/1058899287?-40664:1099,The New European
Former Tory leader says Boris Johnson's real test won't be over Brexit...,https://c.newsnow.co.uk/A/1058892195?-40664:1099,The New European
Boris Johnson under renewed pressure as new polling finds two-thirds of...,https://c.newsnow.co.uk/A/1058750143?-40664:1099,The New European
Boris Johnson invites PM Modi to UK-led G-7 Summit,https://c.newsnow.co.uk/A/1058900633?-40664:1099,AniNews.in
"Mutant variation of coronavirus is now in Wales, government confirms",https://c.newsnow.co.uk/A/1058900587?-49479:36804,North Wales Live
'Critical incident' at hospital due to Covid-19,https://c.newsnow.co.uk/A/1058825703?-49479:36804,BBC
Sadiq Khan Warns Of Rising Covid-19 Rates Among Teens Who Will Soon Be “Hugging And Kissing Granny” At Christmas,https://c.newsnow.co.uk/A/1058900909?-49479:36804,PoliticsHome
"Wearing face masks outdoors could prevent Covid spreading in busy shopping streets, say",https://c.newsnow.co.uk/A/1058900141?-49479:36804,Yahoo! UK & Ireland
London and other parts of South East to move into Tier 3 after midnight tomorrow,https://c.newsnow.co.uk/A/1058792309?-52994:40144,Sky News
London and parts of South East to go into tier three on Wednesday,https://c.newsnow.co.uk/A/1058791041?-52994:40144,Metro.co.uk
London to enter tier 3 Covid rules from Wednesday,https://c.newsnow.co.uk/A/1058794242?-52994:40144,BBC
London set to move into Tier 3 after rise in Covid cases,https://c.newsnow.co.uk/A/1058796055?-52994:40144,East London Advertiser
It could take a year to vaccinate entire UK against Covid,https://c.newsnow.co.uk/A/1058899462?-53963:41642,Metro.co.uk
"Vaccinating UK against Covid-19 could take a year, top scientists warn",https://c.newsnow.co.uk/A/1058885645?-53963:41642,ITV
"Coronavirus vaccination programme could take a year across the UK, experts warn",https://c.newsnow.co.uk/A/1058889892?-53963:41642,Sunderland Echo
Scientists warn it could take a year to vaccinate entire UK population,https://c.newsnow.co.uk/A/1058896328?-53963:41642,Daily Star
Former Tory leader says Boris Johnson's real test won't be over Brexit...,https://c.newsnow.co.uk/A/1058892195?-18773:32803,The New European
Johnson never bargained for this when he won election a year ago – Ian Swanson,https://c.newsnow.co.uk/A/1058885977?-18773:32803,Edinburgh Evening News
Boris Johnson to visit India to boost jobs and prosperity,https://c.newsnow.co.uk/A/1058895721?-18773:32803,GOV.UK (Press Release)
Boris Johnson to visit India in January,https://c.newsnow.co.uk/A/1058894854?-18773:32803,LBC News
"Republicans, Democrats React as Bill Barr Resigns: 'A Five-Alarm Fire'",https://c.newsnow.co.uk/A/1058896723?-44087:30640,Newsweek
